COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",مطرانية الكاثوليك الملكيين,80 Waterloo Road Greenacre NSW 2190,42,مطرانية الكاثوليك الملكيين - غرفة رقم 4
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Elias Cathedral,"700 Ridgewood Av., Ottawa, ON, K1V 6N1",34,St. Elias Cathedral - غرفة رقم 5
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Bint Jbeil Cultural Center,Bint Jebail Cultural Center 14201 Prospect St Derborn Mi 48123 Ph:313 584-0011,22,Bint Jbeil Cultural Center - غرفة رقم 2
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,1,السفارة اللبنانية في الكويت - غرفة رقم 1
استراليا,"سفارة لبنان لدى استراليا, كانبيرا",Thornlie Community Centre,"14 Glenbrook Road, Thornlie,  Western Australia 6108",1,Thornlie Community Centre
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",MALMO,"Emilstorpsgatan 26, 213 64 Malmِ, Sweden",9,MALMO - غرفة رقم 2
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,27,القنصلية العامة في جدة - غرفة رقم 7
مملكة هولاندا,"سفارة لبنان لدى مملكة هولاندا, لاهاي",السفارة اللبنانية في مملكة هولندا,"Frederikstraat 2, 2514LK, The Hague",3,السفارة اللبنانية في مملكة هولندا - غرفة رقم 3
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Honorary Consulate of Lebanon,Honory consulate of Lebanon 6607 pearl rs parma heights ohi 44130 Ph:2163073367,29,Honorary Consulate of Lebanon - غرفة رقم 3
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",63,LEcole armenienne Sourp Hagop - غرفة رقم 8
