COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
جمهورية نيجيريا الإتحادية,"سفارة لبنان لدى جمهورية نيجيريا الإتحادية, ابوجا",المدرسة اللبنانية في بورت هاركورت,"LEBANESE INTERNATIONAL SCHOOL, ARETA ESTATE  N° 128 ABA ROAD, FLAT 15 B, PORT HARCOURT, NIGERIA",4,المدرسة اللبنانية في بورت هاركورت
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,39,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 4
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,2,السفارة اللبنانية في الكويت - غرفة رقم 2
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,5,المدرسة اللبنانية في قطر - غرفة رقم 5
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,16,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 1
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن","Houston, TX","Hilton Houston Post Oak by the Galleria-2001 Post Oak Boulevard I Houston, TX 77056",8,"Houston, TX - غرفة رقم 2"
مملكة بلجيكا,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Ecole Communale de Saint Job,"Rue Jean Benaets 74, 1180 Uccle, Bruxelles",2,Ecole Communale de Saint Job - غرفة رقم 2
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",65,LEcole armenienne Sourp Hagop - غرفة رقم 10
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Pashalian Hall,"221 East 27th street, New York, NY 10016",55,Pashalian Hall - غرفة رقم 4
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",Our Lady of Lourdes and Saint Vincent de Paul Church Hall,"Our Lady of Lourdes and Saint Vincent de Paul Church Hall337 Harrow Rd, Maida Hill, London, W9 3RB",1,Our Lady of Lourdes and Saint Vincent de Paul Church Hall - غرفة رقم 1
